runtime,number_of_splits,number_of_backtracks,number_of_simplifications
1.077763557434082,1,1,3
2.073452949523926,17,15,33
1.111788272857666,1,0,2
1.5130722522735596,5,5,11
1.2298712730407715,2,1,4
1.1868417263031006,1,0,2
1.1948473453521729,4,3,8
1.1728501319885254,4,4,9
1.65915846824646,11,9,21
1.1497976779937744,4,3,8
1.1007983684539795,2,0,3
0.9536762237548828,2,2,5
1.1367874145507812,2,2,5
0.9787123203277588,1,1,3
2.5918188095092773,17,14,32
1.0757629871368408,1,1,3
1.0527288913726807,2,2,5
1.1528184413909912,2,0,3
1.4590330123901367,8,5,14
1.059769868850708,1,1,3
1.0817663669586182,1,1,3
1.2318921089172363,4,3,8
4.442131757736206,42,40,83
1.016702651977539,1,0,2
1.3809595108032227,7,5,13
1.3239374160766602,7,5,13
1.1858408451080322,4,1,6
1.2028529644012451,3,2,6
1.0747439861297607,2,2,5
1.4650206565856934,8,5,14
1.2178637981414795,6,2,9
1.0927934646606445,4,3,8
1.2789068222045898,4,2,7
2.249595880508423,18,16,35
1.0467422008514404,2,2,5
1.1628246307373047,3,0,4
2.3826894760131836,11,7,19
1.8673059940338135,12,11,24
1.2829093933105469,3,1,5
1.032731294631958,1,0,2
1.161834955215454,7,1,9
1.130814552307129,2,0,3
1.1168079376220703,1,1,3
0.9987080097198486,1,0,2
1.820291519165039,14,12,27
1.0917751789093018,1,1,3
1.2539074420928955,2,0,3
1.071760892868042,1,1,3
1.108785629272461,2,2,5
1.2499051094055176,8,7,16
1.1117868423461914,3,1,5
1.04974365234375,2,1,4
1.2618963718414307,3,1,5
1.2999215126037598,7,4,12
0.9766926765441895,1,0,2
1.1197943687438965,3,1,5
1.2088565826416016,3,2,6
1.4360182285308838,6,6,13
0.9426684379577637,1,0,2
1.3659498691558838,5,2,8
1.8272957801818848,7,6,14
1.142810344696045,3,2,6
1.047743797302246,1,1,3
1.2598767280578613,3,3,7
1.0477256774902344,1,0,2
1.0497443675994873,1,1,3
1.4390201568603516,6,5,12
1.126817226409912,3,2,6
1.3479557037353516,3,2,6
1.156820297241211,2,1,4
2.979114294052124,22,20,43
1.817270278930664,2,2,5
1.6942012310028076,1,0,2
1.3429534435272217,4,2,7
2.3736824989318848,12,10,23
1.8983464241027832,2,1,4
1.4360175132751465,3,1,5
1.8823165893554688,4,3,8
1.2538933753967285,4,2,7
1.0827677249908447,2,0,3
1.494058609008789,5,4,10
1.1088051795959473,1,0,2
1.1117885112762451,5,2,8
1.2308714389801025,5,4,10
1.3559792041778564,4,2,7
1.4510281085968018,2,1,4
1.4430227279663086,1,0,2
1.5310680866241455,1,1,3
1.1648244857788086,4,3,8
2.1165194511413574,9,6,16
1.2078566551208496,3,2,6
1.2218658924102783,3,2,6
1.1728134155273438,5,5,11
1.206855058670044,5,5,11
1.122795581817627,2,2,5
1.1628246307373047,3,3,7
1.9063704013824463,18,17,36
1.55208158493042,1,1,3
1.1798374652862549,6,3,10
1.7322289943695068,7,5,13
1.8383023738861084,9,9,19
0.9987258911132812,1,0,2
1.7532424926757812,5,4,10
1.2258696556091309,7,5,13
1.4230077266693115,9,8,18
1.6281547546386719,9,8,18
1.064755916595459,3,3,7
1.497060775756836,2,2,5
1.7742421627044678,2,1,4
2.1745595932006836,12,11,24
1.2919344902038574,3,3,7
2.8590102195739746,11,8,20
1.2668817043304443,6,3,10
1.7922711372375488,2,2,5
1.170830249786377,4,2,7
1.657175064086914,1,0,2
1.1658284664154053,1,0,2
0.9666852951049805,1,0,2
1.5170764923095703,4,2,7
1.3629648685455322,1,1,3
1.4850516319274902,3,3,7
1.674187183380127,2,1,4
1.4330339431762695,3,1,5
1.715198040008545,11,11,23
1.7722370624542236,4,4,9
0.9686670303344727,2,1,4
1.0887713432312012,2,0,3
1.0667567253112793,1,0,2
1.7772409915924072,11,8,20
1.0177209377288818,2,2,5
1.1298177242279053,5,3,9
1.0507268905639648,3,1,5
1.0777451992034912,2,2,5
1.0827863216400146,2,1,4
1.195829153060913,6,6,13
1.4340171813964844,8,6,15
1.097778558731079,1,0,2
1.174833059310913,5,4,10
1.800276756286621,11,7,19
1.1187920570373535,2,1,4
1.4520111083984375,5,3,9
1.2338898181915283,3,3,7
1.1928441524505615,3,3,7
1.1197948455810547,3,2,6
1.0537471771240234,4,3,8
1.191845178604126,4,3,8
0.9907016754150391,1,1,3
1.2989203929901123,5,3,9
1.1778151988983154,5,3,9
1.3409318923950195,6,5,12
0.9806957244873047,3,3,7
0.9526748657226562,2,1,4
1.0707592964172363,3,0,4
1.404977560043335,8,5,14
1.1838393211364746,3,1,5
1.013718843460083,4,3,8
1.2729027271270752,9,8,18
1.0687580108642578,4,3,8
1.5330872535705566,7,7,15
1.532085657119751,11,9,21
0.9526755809783936,1,1,3
1.0807664394378662,3,1,5
1.0187039375305176,4,3,8
3.4774844646453857,38,34,73
1.0937566757202148,7,5,13
1.1218130588531494,2,1,4
1.1007804870605469,2,1,4
1.0567669868469238,2,1,4
2.0054221153259277,16,14,31
1.1358046531677246,5,4,10
1.1948473453521729,6,2,9
0.9796946048736572,1,0,2
0.9186699390411377,1,1,3
1.1658446788787842,7,4,12
0.9816784858703613,1,1,3
1.064753770828247,3,2,6
1.2428812980651855,3,3,7
1.0257275104522705,2,1,4
1.0167202949523926,2,0,3
1.1117885112762451,3,1,5
1.670166015625,12,11,24
0.9606795310974121,1,0,2
1.0117173194885254,2,0,3
1.0177202224731445,1,1,3
1.0577502250671387,1,1,3
1.1367943286895752,2,1,4
1.3369479179382324,8,7,16
1.0257272720336914,1,1,3
1.0357518196105957,2,2,5
1.375974416732788,4,3,8
1.0127372741699219,3,0,4
0.9917042255401611,2,2,5
1.0287480354309082,1,0,2
1.365950345993042,6,6,13
2.1895344257354736,21,19,41
0.9456524848937988,1,1,3
1.1638052463531494,2,1,4
1.1328024864196777,3,2,6
1.1137897968292236,4,4,9
1.3409502506256104,7,6,14
1.4720442295074463,10,8,19
1.0247259140014648,3,1,5
0.964665412902832,1,1,3
0.9917032718658447,1,0,2
1.080784559249878,3,3,7
1.147796630859375,6,4,11
2.125507354736328,20,18,39
1.4510471820831299,6,6,13
1.0687572956085205,3,3,7
1.0197429656982422,3,0,4
1.5360894203186035,15,11,27
1.0747630596160889,1,1,3
1.494058609008789,9,7,17
4.51118016242981,49,47,97
1.8473281860351562,10,8,19
1.0347518920898438,1,1,3
0.9887003898620605,3,3,7
1.0367162227630615,3,0,4
1.0037102699279785,1,0,2
1.1197950839996338,4,3,8
1.2348573207855225,4,2,7
1.269881248474121,3,3,7
1.2969188690185547,7,6,14
0.9696869850158691,2,1,4
1.1148087978363037,3,1,5
1.360947608947754,5,4,10
1.11979341506958,2,1,4
1.0277290344238281,1,0,2
0.9256556034088135,1,0,2
1.0537474155426025,2,1,4
2.1555087566375732,12,12,25
1.0487430095672607,4,1,6
1.019704818725586,4,3,8
0.9366641044616699,1,0,2
0.9846985340118408,2,1,4
0.9656839370727539,3,3,7
0.9786934852600098,1,0,2
1.1088049411773682,4,3,8
0.9606804847717285,1,1,3
1.0267462730407715,1,0,2
1.5450775623321533,11,7,19
1.0267105102539062,2,1,4
1.7362310886383057,11,9,21
0.8856282234191895,1,0,2
1.152818202972412,5,4,10
1.16782808303833,3,1,5
0.9836969375610352,1,1,3
0.999708890914917,1,0,2
1.4960787296295166,12,6,19
1.0397372245788574,1,0,2
1.25889253616333,8,7,16
0.9076244831085205,1,1,3
1.023725986480713,1,0,2
0.9897010326385498,2,1,4
0.9907209873199463,1,1,3
1.4530296325683594,11,6,18
0.964684009552002,1,0,2
1.1388075351715088,2,1,4
1.1267974376678467,5,2,8
1.0137178897857666,3,2,6
2.7939815521240234,24,22,47
1.1588218212127686,2,2,5
1.0977776050567627,1,0,2
1.4440243244171143,9,9,19
1.261894702911377,3,3,7
1.173832654953003,4,4,9
2.6158552169799805,21,19,41
1.2248685359954834,6,6,13
0.9246571063995361,1,1,3
0.94765305519104,3,3,7
1.101780652999878,2,1,4
1.4470257759094238,10,7,18
1.0177223682403564,3,1,5
1.169827938079834,5,3,9
1.3269400596618652,9,5,15
1.3849821090698242,9,8,18
0.8536055088043213,1,0,2
1.2899129390716553,7,7,15
1.2438995838165283,8,7,16
1.0667378902435303,3,1,5
1.1578385829925537,5,5,11
0.9336612224578857,1,1,3
1.4740467071533203,15,12,28
0.8856287002563477,2,2,5
0.9987258911132812,4,2,7
1.7922711372375488,15,15,31
0.9446883201599121,1,0,2
1.0817649364471436,3,1,5
0.9066245555877686,1,0,2
0.9346630573272705,1,0,2
1.2338926792144775,8,4,13
0.9496734142303467,1,1,3
0.9456532001495361,2,2,5
0.9997096061706543,1,1,3
1.6361603736877441,20,20,41
0.870617151260376,1,0,2
1.0547478199005127,5,3,9
0.8686156272888184,1,0,2
0.916649341583252,1,1,3
0.9346437454223633,1,1,3
1.5160582065582275,7,6,14
1.5291032791137695,11,7,19
1.0337505340576172,2,0,3
1.1308012008666992,5,3,9
1.4250106811523438,10,7,18
1.3929872512817383,9,6,16
1.0557670593261719,1,0,2
1.599134922027588,1,1,3
1.3099291324615479,4,3,8
4.530231714248657,66,63,130
1.0377552509307861,4,1,6
1.0607521533966064,3,2,6
1.179854154586792,2,2,5
0.8976175785064697,3,0,4
1.0657551288604736,2,1,4
0.9116644859313965,2,1,4
1.0817861557006836,3,3,7
0.9856996536254883,2,2,5
0.9977068901062012,2,0,3
1.0937752723693848,4,3,8
1.2739036083221436,8,6,15
1.0017096996307373,4,4,9
1.5100700855255127,7,7,15
1.205855131149292,6,5,12
1.0247266292572021,2,0,3
1.0847878456115723,4,4,9
0.92563796043396,2,1,4
2.005403757095337,19,17,37
1.0007095336914062,2,1,4
1.0027110576629639,5,4,10
1.0066947937011719,4,2,7
0.9847164154052734,3,2,6
1.7662689685821533,13,11,25
1.2458834648132324,9,7,17
0.9907019138336182,3,1,5
1.2378954887390137,5,2,8
3.904749870300293,53,51,105
0.9836976528167725,1,0,2
1.2278716564178467,6,4,11
1.1608047485351562,2,1,4
1.013700008392334,1,1,3
0.9336826801300049,1,0,2
1.391968011856079,8,5,14
1.39298677444458,12,10,23
1.304926872253418,8,6,15
0.9896838665008545,1,0,2
2.064446449279785,17,16,34
1.231874942779541,5,5,11
1.8222923278808594,26,24,51
1.2939174175262451,5,3,9
1.1928446292877197,14,14,29
1.141810417175293,5,2,8
1.295900821685791,11,10,22
1.1528174877166748,5,2,8
1.0547289848327637,2,0,3
1.0847699642181396,9,7,17
1.0207231044769287,2,1,4
1.3859829902648926,11,8,20
1.1427922248840332,2,0,3
1.0397562980651855,3,1,5
1.1267998218536377,6,3,10
1.0007274150848389,1,0,2
1.04872465133667,1,0,2
0.9266579151153564,2,0,3
1.4340169429779053,16,15,32
1.0587317943572998,1,0,2
1.0757637023925781,2,2,5
2.204561948776245,18,18,37
1.1307995319366455,3,2,6
0.921656608581543,2,1,4
1.0337319374084473,4,3,8
1.1197926998138428,4,3,8
1.1448113918304443,3,1,5
1.1137912273406982,2,2,5
1.1928448677062988,4,4,9
0.9136471748352051,1,0,2
1.1077866554260254,4,2,7
1.0747613906860352,5,2,8
1.465038776397705,10,7,18
1.013719081878662,2,1,4
1.0477421283721924,2,1,4
1.0907726287841797,4,2,7
0.99568772315979,1,0,2
1.188843011856079,7,4,12
1.518075942993164,13,11,25
0.9286580085754395,1,1,3
0.9947054386138916,3,1,5
1.1648435592651367,3,3,7
1.5470969676971436,11,8,20
0.9156484603881836,1,1,3
1.7112135887145996,12,10,23
1.0187406539916992,2,1,4
0.9716885089874268,3,1,5
0.894634485244751,2,2,5
0.9967083930969238,1,0,2
1.755244493484497,15,13,29
0.9506750106811523,4,1,6
1.0067322254180908,3,2,6
1.2899322509765625,3,1,5
1.5831236839294434,13,11,25
1.2738847732543945,8,6,15
0.9717075824737549,1,1,3
1.2418806552886963,8,6,15
0.9967038631439209,2,2,5
1.1658275127410889,2,1,4
1.0337142944335938,1,1,3
1.4240281581878662,12,11,24
0.8966538906097412,1,0,2
1.0127179622650146,3,3,7
1.3870017528533936,6,5,12
1.7532258033752441,24,19,44
0.9276571273803711,1,0,2
1.9453628063201904,9,7,17
1.1488146781921387,3,2,6
0.9786949157714844,3,0,4
0.9736933708190918,1,1,3
1.1378085613250732,2,1,4
1.176835298538208,4,2,7
0.9766919612884521,2,1,4
0.964665412902832,2,1,4
1.2488842010498047,4,3,8
1.2788891792297363,4,4,9
1.5190773010253906,14,11,26
1.7292263507843018,11,9,21
1.4380199909210205,5,4,10
1.705207109451294,5,5,11
1.3419504165649414,6,4,11
1.011716604232788,1,0,2
1.0377349853515625,2,1,4
1.3439531326293945,4,4,9
0.9897024631500244,4,4,9
1.30092191696167,10,6,17
0.9606812000274658,2,2,5
1.090754508972168,4,3,8
1.1087861061096191,3,1,5
1.3979907035827637,6,6,13
1.0447590351104736,2,1,4
0.9957053661346436,1,1,3
1.6261541843414307,12,8,21
0.948671817779541,2,0,3
1.7902512550354004,11,10,22
1.2078566551208496,3,2,6
1.2638962268829346,4,3,8
1.155820608139038,6,4,11
1.236875295639038,4,3,8
1.1148087978363037,5,3,9
1.1137900352478027,1,1,3
1.1668457984924316,4,3,8
1.1768345832824707,10,9,20
1.1548182964324951,6,4,11
1.108785629272461,5,4,10
0.9887011051177979,1,1,3
0.9506733417510986,1,0,2
0.8856287002563477,1,0,2
1.4690420627593994,12,11,24
1.0427579879760742,4,0,5
0.8716168403625488,2,2,5
1.0477244853973389,5,4,10
0.8736004829406738,1,0,2
0.8806238174438477,1,0,2
1.0397372245788574,3,1,5
1.3139135837554932,9,7,17
0.929659366607666,3,3,7
0.9436676502227783,1,0,2
0.9486727714538574,2,1,4
0.8666138648986816,1,0,2
0.9736912250518799,2,0,3
0.9686856269836426,2,0,3
1.9153590202331543,11,9,21
1.3249397277832031,4,2,7
1.0847692489624023,4,3,8
0.8806228637695312,2,1,4
1.1828386783599854,6,4,11
1.796271800994873,11,9,21
1.5190773010253906,8,6,15
1.2678992748260498,7,5,13
0.9937038421630859,2,0,3
0.9987082481384277,2,2,5
1.020723819732666,2,1,4
1.1788365840911865,3,2,6
1.1368062496185303,2,2,5
1.2688806056976318,9,8,18
1.1978492736816406,3,3,7
0.9266557693481445,1,0,2
1.2779061794281006,7,6,14
0.9116451740264893,1,0,2
0.9386465549468994,2,1,4
1.0317330360412598,4,4,9
0.970686674118042,1,1,3
0.8796215057373047,1,1,3
0.9236736297607422,4,2,7
0.9486720561981201,1,0,2
1.0067145824432373,3,0,4
1.8312978744506836,12,9,22
1.041738748550415,2,1,4
0.935645341873169,1,0,2
1.1267991065979004,5,4,10
1.7372326850891113,14,12,27
1.0757620334625244,3,2,6
1.0997779369354248,3,2,6
1.2268686294555664,6,2,9
1.0457415580749512,5,0,6
0.8746194839477539,1,0,2
1.3299429416656494,8,7,16
0.9846978187561035,3,2,6
0.9086422920227051,1,0,2
1.0337324142456055,1,0,2
1.4029934406280518,5,5,11
1.6661815643310547,15,12,28
0.9726889133453369,2,1,4
1.1618237495422363,5,4,10
1.254887580871582,6,5,12
1.0747613906860352,2,1,4
0.9556775093078613,2,1,4
1.6992042064666748,18,16,35
1.0777645111083984,4,1,6
0.9346613883972168,1,0,2
1.447026252746582,9,8,18
1.072760820388794,6,5,12
2.32865047454834,21,20,42
1.7482390403747559,19,18,38
0.9196517467498779,3,2,6
0.8946521282196045,5,2,8
1.047760009765625,5,5,11
0.9436676502227783,2,1,4
0.8375937938690186,1,0,2
0.9176323413848877,3,1,5
0.8886301517486572,3,3,7
1.2638964653015137,11,8,20
1.3689699172973633,9,8,18
1.0717599391937256,3,2,6
1.2368950843811035,6,5,12
1.0087337493896484,3,3,7
1.1848218441009521,7,5,13
0.9316592216491699,4,2,7
1.1918449401855469,6,6,13
1.0947585105895996,4,3,8
0.8165597915649414,1,0,2
0.9746901988983154,4,2,7
0.9856975078582764,4,3,8
0.9366819858551025,6,3,10
1.436018466949463,11,10,22
1.1127707958221436,5,4,10
0.9837150573730469,3,1,5
0.9446513652801514,2,2,5
0.9646828174591064,1,0,2
0.9416677951812744,3,0,4
1.1268181800842285,3,2,6
0.8876302242279053,1,0,2
0.8616101741790771,3,0,4
1.373955249786377,13,10,24
1.0757620334625244,5,5,11
1.0097153186798096,5,4,10
1.263878583908081,6,5,12
1.0577499866485596,6,5,12
1.3189353942871094,10,9,20
1.4309964179992676,12,11,24
1.2548878192901611,7,6,14
0.8656129837036133,4,2,7
1.0147197246551514,1,0,2
1.4490461349487305,13,12,26
1.7122149467468262,12,11,24
1.0647733211517334,5,4,10
0.9506926536560059,1,0,2
1.0537676811218262,7,4,12
0.8916316032409668,1,0,2
1.5360901355743408,14,13,28
1.009732961654663,3,3,7
1.3509395122528076,7,5,13
1.5571057796478271,7,5,13
0.9956872463226318,3,2,6
1.6471681594848633,14,11,26
0.873619556427002,1,0,2
1.0047125816345215,2,1,4
0.9826962947845459,3,2,6
1.3359472751617432,8,7,16
1.3559622764587402,10,9,20
1.1908447742462158,6,2,9
1.2658991813659668,11,8,20
1.458033800125122,11,9,21
1.0617530345916748,7,3,11
0.8946313858032227,2,2,5
1.174833059310913,5,5,11
1.3039236068725586,8,7,16
0.9806947708129883,1,0,2
1.175832986831665,6,4,11
1.1878423690795898,5,3,9
1.0447402000427246,4,3,8
1.1178109645843506,6,6,13
1.0907742977142334,4,4,9
1.0347332954406738,3,3,7
0.9766910076141357,4,1,6
1.1998496055603027,8,3,12
0.845599889755249,1,0,2
0.9116463661193848,4,3,8
1.3189177513122559,7,6,14
2.22157621383667,22,18,41
1.100780725479126,7,6,14
1.1128075122833252,4,3,8
0.9016392230987549,2,1,4
1.0897719860076904,1,1,3
1.0076956748962402,3,2,6
2.0634639263153076,19,16,36
1.1878423690795898,9,6,16
1.0777804851531982,6,5,12
1.0066955089569092,3,1,5
0.9466698169708252,3,2,6
1.6782081127166748,22,21,44
2.019449472427368,16,16,33
0.9456522464752197,2,0,3
1.0477612018585205,3,1,5
1.2839107513427734,8,6,15
0.9326605796813965,1,0,2
1.0707595348358154,5,4,10
1.0717589855194092,5,4,10
1.6211497783660889,17,16,34
0.9786942005157471,1,0,2
1.021723747253418,3,3,7
1.0797467231750488,3,3,7
1.9774014949798584,25,23,49
0.9916834831237793,4,2,7
0.9076430797576904,2,1,4
1.1838409900665283,5,4,10
0.895653247833252,2,0,3
0.9326796531677246,1,0,2
0.940666913986206,1,1,3
1.0187408924102783,6,5,12
1.226851224899292,3,2,6
1.143810510635376,8,7,16
0.9556770324707031,2,0,3
0.9146661758422852,1,1,3
1.0007095336914062,4,2,7
1.1097869873046875,5,4,10
0.9827132225036621,4,3,8
1.8813343048095703,18,15,34
1.0097153186798096,2,2,5
0.9756913185119629,4,4,9
0.9246549606323242,2,1,4
1.7292447090148926,9,9,19
0.8856463432312012,3,1,5
1.013735055923462,2,1,4
0.9556961059570312,5,4,10
0.9016203880310059,1,1,3
1.0297307968139648,5,3,9
1.0847511291503906,4,4,9
0.9626827239990234,2,2,5
2.932079315185547,31,30,62
1.05076003074646,3,3,7
1.4390201568603516,15,14,30
0.9046416282653809,2,2,5
1.3329451084136963,8,7,16
1.0077145099639893,2,2,5
0.9256739616394043,1,0,2
1.1588225364685059,6,4,11
1.5000636577606201,10,8,19
0.9386467933654785,5,4,10
0.9416663646697998,1,0,2
1.0077133178710938,5,2,8
0.9306602478027344,3,3,7
0.9356818199157715,1,1,3
0.9887008666992188,5,5,11
0.9386658668518066,4,2,7
1.1187934875488281,7,6,14
0.9636833667755127,3,1,5
0.9356627464294434,3,1,5
1.2098772525787354,7,7,15
0.8185803890228271,2,1,4
0.9856979846954346,2,2,5
1.0247251987457275,1,1,3
1.1798536777496338,7,4,12
1.436018466949463,7,6,14
0.8195805549621582,1,1,3
1.0507488250732422,5,3,9
0.905642032623291,3,1,5
1.298919916152954,7,6,14
1.3679702281951904,11,10,22
0.9636833667755127,3,2,6
1.3219192028045654,11,8,20
1.0297296047210693,4,3,8
1.0057125091552734,2,2,5
0.8856279850006104,2,0,3
0.8646125793457031,1,0,2
0.9436690807342529,3,0,4
1.1498336791992188,6,4,11
0.8976175785064697,2,2,5
1.0197222232818604,8,6,15
0.8506026268005371,1,0,2
1.0527458190917969,5,4,10
1.7672533988952637,14,12,27
1.0257456302642822,4,2,7
1.4280121326446533,10,8,19
1.9523847103118896,13,13,27
1.3409514427185059,7,6,14
0.9116463661193848,2,0,3
1.1348040103912354,4,4,9
1.736234426498413,22,20,43
1.0157194137573242,3,2,6
0.9516749382019043,2,0,3
0.8666329383850098,1,0,2
1.269899845123291,6,5,12
1.123779535293579,8,6,15
1.7472383975982666,21,17,39
1.0437393188476562,5,4,10
0.9286584854125977,1,0,2
0.9166486263275146,2,2,5
1.1388061046600342,7,5,13
1.0697579383850098,5,3,9
1.2318546772003174,7,4,12
1.065755844116211,5,3,9
0.8195810317993164,2,1,4
1.0957770347595215,7,6,14
0.8886294364929199,2,0,3
0.9126632213592529,3,2,6
0.916649580001831,1,0,2
1.3849823474884033,16,12,29
0.8095741271972656,2,0,3
1.0587522983551025,6,4,11
0.8766040802001953,2,0,3
1.0387358665466309,6,4,11
1.0807664394378662,4,3,8
0.8836264610290527,1,0,2
0.911628007888794,3,1,5
0.8435981273651123,2,1,4
1.8423027992248535,15,13,29
2.0984888076782227,13,9,23
1.048743724822998,4,2,7
0.9806933403015137,2,0,3
1.4009935855865479,9,9,19
1.080765724182129,5,3,9
1.9083526134490967,16,13,30
0.9026403427124023,7,1,9
1.0467407703399658,4,3,8
1.4630558490753174,14,13,28
0.9426677227020264,2,0,3
0.8345918655395508,1,0,2
0.864612340927124,4,2,7
1.0877714157104492,4,4,9
0.7775506973266602,1,0,2
0.8596088886260986,1,0,2
0.9106452465057373,3,2,6
1.1107864379882812,9,6,16
0.8175797462463379,2,0,3
0.8435981273651123,2,1,4
0.8906316757202148,1,0,2
0.8506031036376953,1,0,2
2.1215059757232666,21,20,42
0.825584888458252,1,0,2
0.9957060813903809,3,3,7
0.9616811275482178,4,2,7
1.2098579406738281,10,7,18
1.5230791568756104,15,14,30
0.9927024841308594,4,3,8
1.1478140354156494,7,4,12
0.9496722221374512,2,1,4
1.2648961544036865,7,6,14
1.1378066539764404,9,8,18
0.7785513401031494,2,0,3
0.8956351280212402,2,1,4
1.5500986576080322,11,10,22
0.7955451011657715,1,0,2
1.559105634689331,8,8,17
1.76124906539917,17,14,32
1.1257984638214111,4,2,7
1.2328743934631348,8,5,14
0.929659366607666,3,2,6
0.8125684261322021,3,0,4
0.8125762939453125,2,1,4
1.1147911548614502,7,6,14
0.9496726989746094,1,0,2
1.1197941303253174,3,3,7
0.8686158657073975,2,0,3
0.9206526279449463,2,1,4
0.8436164855957031,2,1,4
1.2829082012176514,8,5,14
0.7765498161315918,1,0,2
0.8465814590454102,3,1,5
1.1037812232971191,6,5,12
0.9106450080871582,1,1,3
0.9166319370269775,3,2,6
1.4300134181976318,9,9,19
0.9476902484893799,5,4,10
1.3849997520446777,15,11,27
0.8596272468566895,3,1,5
0.8025510311126709,1,0,2
0.8796238899230957,2,2,5
0.7815725803375244,2,1,4
0.8966169357299805,3,2,6
0.9306602478027344,2,1,4
1.3409509658813477,16,12,29
